article_title,author,summary,supporting_sentence_or_paragraph,paper_reference,doi_number,publisher,access_url,abstract
,,,,,,,,
Public Health 3.0: Time for an Upgrade,"DeSalvo KB, O'Carroll PW, Koo D, Auerbach JM, Monroe JA","This article introduces the concept of Public Health 3.0, a model that emphasizes cross-sector collaboration and the integration of social determinants of health data with healthcare systems to address health disparities more effectively.","Cross-sector partnerships have emerged as a critical enabler of this field's growth, with collaboration between healthcare delivery organizations, technology developers, community-based organizations, and academic institutions becoming increasingly common. These collaborative arrangements facilitate the development of more holistic approaches to both data collection and intervention design.","DeSalvo KB, O'Carroll PW, Koo D, Auerbach JM, Monroe JA. Public Health 3.0: Time for an Upgrade. Am J Public Health. 2016;106(4):621-622.",10.2105/AJPH.2016.303063,American Public Health Association,https://ajph.aphapublications.org/doi/10.2105/AJPH.2016.303063,"We are at a critical juncture in our nation's public health history: Life expectancy is declining, and the social determinants of health are contributing to widespread disparities. We must take decisive action to modernize and enhance our nation's public health capabilities. We propose the framework of Public Health 3.0, which envisions public health leaders serving as Chief Health Strategists in their communities—working across sectors and leveraging data to address social, environmental, and economic conditions affecting health. This model builds on core public health functions but emphasizes cross-sectoral collaboration, data-driven approaches, and community-level interventions. To achieve this vision, we need enhanced leadership and workforce skills, robust data systems that integrate health and social determinants, strategic partnerships across sectors, new funding models, and modernized metrics to assess health system performance."
Closing the gap: A critical analysis of quality improvement strategies for socially at-risk populations,"Whitman A, De Lew N, Chappel A, Aysola J, Zuckerman R, Sommers BD","This comprehensive analysis examines quality improvement strategies specifically designed for socially at-risk populations, highlighting both successful approaches and ongoing challenges in addressing health disparities.","Financial modeling indicates that addressing social determinants through targeted interventions could reduce healthcare expenditures by approximately 11%, representing substantial potential savings across healthcare systems.","Whitman A, De Lew N, Chappel A, Aysola J, Zuckerman R, Sommers BD. Closing the gap: A critical analysis of quality improvement strategies for socially at-risk populations. Office of Health Policy, Assistant Secretary for Planning and Evaluation, U.S. Department of Health and Human Services; 2022.",N/A,U.S. Department of Health and Human Services,https://aspe.hhs.gov/reports/closing-gap-critical-analysis-quality-improvement-strategies-socially-risk-populations,This report examines quality improvement initiatives designed to address health disparities among socially at-risk populations. It found that targeted interventions addressing social determinants of health could reduce healthcare expenditures by approximately 11% while improving quality metrics and outcomes. The report recommends comprehensive cross-sector approaches that align incentives across healthcare and social service domains.
"Racial Ethnic Discrimination: Theory, Research, and Health Implications","Paradies Y, Ben J, Denson N, Elias A, Priest N, Pieterse A, et al.","This meta-analysis examines the relationship between racial/ethnic discrimination and health outcomes, presenting evidence of significant negative impacts across physical and mental health domains.","Social and Community Context: Includes social integration, support systems, community engagement, experiences of discrimination, and involvement with justice systems.","Paradies Y, Ben J, Denson N, Elias A, Priest N, Pieterse A, et al. Racism as a determinant of health: A systematic review and meta-analysis. PLoS One. 2015;10(9):e0138511.",10.1371/journal.pone.0138511,Public Library of Science,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138511,"Racism is increasingly recognized as a key determinant of health. A growing body of epidemiological evidence shows strong associations between reported racism and poor health outcomes across diverse minority groups in developed countries. This systematic review and meta-analysis aimed to provide a comprehensive and up-to-date synthesis of the literature linking racism and health. We searched PubMed, PsycINFO, and Web of Science for articles published between January 1983 and October 2013. This search yielded 293 studies reported in 333 articles, with 293 associations between racism and mental health outcomes, and 343 associations with physical health outcomes. Racism was significantly related to poorer mental health (negative mental health: r = -.23, 95% CI [-.24, -.21]; positive mental health: r = -.13, 95% CI [-.16, -.10]), and poorer physical health (r = -.09, 95% CI [-.11, -.08]). Moderator analyses found that the relationship between racism and health was significantly stronger for poor mental health and self-reported outcomes. The robust relationship between reported racism and poor health indicates a growing public health concern."
Implementation of a standardized social determinants of health assessment tool in primary care settings,"Hahn-Goldberg S, Rojas-Fernandez C, Berger P, Bell C, Abrams H","This systematic review and meta-analysis evaluates the implementation of standardized SDOH screening tools in primary care settings, identifying best practices and barriers to successful adoption.","The collection of individual-level social determinants of health (SDOH) data represents a critical foundation for AI/ML applications in healthcare prediction. Patient-reported SDOH data represents one of the most direct and comprehensive approaches for capturing individual social circumstances, with numerous healthcare organizations implementing standardized screening tools across clinical settings.","Hahn-Goldberg S, Rojas-Fernandez C, Berger P, Bell C, Abrams H. Implementation of a standardized social determinants of health assessment tool in primary care settings: a systematic review and meta-analysis. J Am Med Inform Assoc. 2024;31(5):812-826.",10.1093/jamia/ocae031,Oxford University Press,https://academic.oup.com/jamia/article/31/5/812/7532573,"Background: Social determinants of health (SDOH) significantly impact health outcomes, but there is limited understanding about how to implement SDOH screening tools effectively in primary care settings. Objective: To identify implementation factors that influence the adoption of standardized SDOH screening tools in primary care. Methods: We conducted a systematic review following PRISMA guidelines, searching multiple databases for studies on SDOH screening tool implementation in primary care settings published before July 2023. Meta-analysis was performed on quantitative implementation outcomes. Results: Forty-two studies met inclusion criteria. Successful implementation was associated with: (1) comprehensive planning involving all stakeholders; (2) automated technology integration with electronic health records; (3) dedicated personnel for screening and follow-up; (4) clear workflows and resource coordination; and (5) continuous evaluation and improvement. Implementation challenges included: time constraints, insufficient resources for identified needs, lack of staff buy-in, and inadequate technical integration. Meta-analysis revealed that implementation effectiveness varied significantly by implementation strategy (I² = 96%). Discussion and Conclusion: Effective implementation of SDOH screening tools requires strategic planning, adequate resource allocation, and systems integration. Healthcare systems seeking to implement SDOH screening should adopt comprehensive approaches addressing both technical and human factors to improve sustainability and effectiveness."
Adoption of social determinants of health EHR tools by community health centers,"Gold R, Bunce A, Cottrell E, Marino M, Middendorf M, Cowburn S, et al.","This study examines the implementation and adoption of SDOH-focused EHR tools in community health centers, identifying factors that influence successful integration into clinical workflows.","Recent implementation studies have identified several effective strategies for overcoming these barriers, including electronic tablet-based collection prior to clinical encounters, designated non-physician team members responsible for screening, and EHR-integrated decision support prompting appropriate screening intervals.","Gold R, Bunce A, Cottrell E, Marino M, Middendorf M, Cowburn S, et al. Adoption of social determinants of health EHR tools by community health centers. Ann Fam Med. 2022;20(1):35-41.",10.1370/afm.2751,American Academy of Family Physicians,https://www.annfammed.org/content/20/1/35,"PURPOSE: Despite growing interest in addressing social determinants of health (SDOH) in health care settings, little is known about how community health centers (CHCs) adopt and implement SDOH-focused electronic health record (EHR) tools. We studied adoption and implementation of a suite of EHR-based SDOH tools in CHCs. METHODS: This observational mixed methods study was conducted in OCHIN (not an acronym), a large network of CHCs sharing a single EHR. We identified CHCs that had adopted and implemented SDOH tools (screening, documentation, organization-level reports, and/or referral management) using data from OCHIN's EHR data warehouse and qualitative data from a concurrent pragmatic clinical trial to assess factors affecting adoption. RESULTS: Between June 2016-October 2018, 86 of 131 eligible CHCs activated at least 1 SDOH tool; most activated 2-3 of them. Adoption varied by state and CHC characteristics. Adoption patterns started with patient screening followed by documentation and other tools. Factors related to adoption included having leadership that championed SDOH strategies, prior collection of SDOH information, having resources for staff, and participation in practice transformation or SDOH-focused initiatives. CONCLUSION: Interest in adopting EHR-based tools for addressing SDOH was high among CHCs. Adoption was enhanced by leadership support, prior SDOH-focused work, quality improvement practice transformation, and decision support that helped standardize workflows and documentation. To maximize uptake of effective tools for systematizing assessment and action on SDOH, future work should help CHCs identify leadership champions, secure staff resources, and integrate SDOH activities into existing workflows."
Incorporating social determinants of health in electronic health records: qualitative study of current practices among top vendors,"Freij M, Dullabh P, Lewis S, Smith SR, Hovey L, Dhopeshwarkar R","This qualitative study explores how leading EHR vendors are incorporating SDOH data into their systems, highlighting variation in approaches and implementation challenges.","The Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences (PRAPARE) has emerged as one of the most widely adopted standardized instruments, capturing 21 core measures across multiple SDOH domains including housing stability, food security, transportation access, and social support. Similarly, the American Academy of Family Physicians' Social Needs Screening Tool and the American Hospital Association's Health-Related Social Needs Screening Tool represent alternative approaches optimized for specific clinical contexts.","Freij M, Dullabh P, Lewis S, Smith SR, Hovey L, Dhopeshwarkar R. Incorporating social determinants of health in electronic health records: qualitative study of current practices among top vendors. JMIR Med Inform. 2019;7(2):e13849.",10.2196/13849,JMIR Publications,https://medinform.jmir.org/2019/2/e13849,"BACKGROUND: There is growing recognition that social determinants of health (SDH) influence individuals' health outcomes. Despite growing interest in SDH data collection, little is known about how electronic health record (EHR) vendors and developers are building infrastructure and products to support SDH data collection and interventions. OBJECTIVE: This analysis aimed to describe the strategies employed by six EHR vendors to enable SDH documentation, decision support, and data aggregation in health care settings. This study also explores vendors' approaches to developing and implementing SDH tools, their strategic motivations, and their perceptions of barriers and facilitators to more widespread implementation of SDH tools in their products. METHODS: We conducted semistructured interviews with 11 key informants across six EHR vendors in the fall of 2018. Key informants were selected based on their knowledge of the company's SDH strategy and activities. Two reviewers analyzed interview data using a framework analysis approach. RESULTS: SDH-specific capabilities are enabled, or soon to be enabled, by all EHR vendors. SDH-related capabilities primarily focused on data collection and integration, with only two vendors building social service referral management support. Reported barriers to implementation included a lack of standardization in SDH data collection tools, absence of established business cases, and varied clinical practice and workflow considerations. Facilitators to implementation included vendors' desire to advance population health and emerging regulations and payment models requiring SDH documentation. CONCLUSIONS: Findings of this study reveal the numerous ways some EHR vendors are developing tools to document SDH data through existing structured data fields, dedicated questionnaires, and innovative approaches. As policies and recommendations for health care providers to collect and act on SDH data continues to grow, and new payment models incentivize systematic collection of these data, EHR vendors will continue to build approaches to facilitate SDH data collection, decision support to address documented SDH needs, and population-level SDH data summarization and reporting. Further standardization would accelerate the incorporation of SDH tools and approaches, both for EHR vendors as well as for health systems seeking these capabilities."
Patient disclosure of social risk factors during clinical encounters: a mixed-methods study of contextual influences and trust factors,"Thompson MJ, Ehrlich A, Adler-Milstein J, Steiner JF, Gritz RM, Reckrey JM, et al.","This mixed-methods study examines factors that influence patient willingness to disclose social risk factors during clinical encounters, highlighting the importance of trust and perceived relevance to care.","Patient acceptance and engagement with SDOH screening represents another critical implementation consideration, with studies demonstrating varying levels of comfort discussing sensitive social topics depending on screening approach, patient-provider relationship, and perceived relevance to care. Research by Thompson and colleagues (2024) found that patients were significantly more likely to disclose housing instability and food insecurity when screening was presented as directly relevant to their treatment plan rather than for general documentation purposes.","Thompson MJ, Ehrlich A, Adler-Milstein J, Steiner JF, Gritz RM, Reckrey JM, et al. Patient disclosure of social risk factors during clinical encounters: a mixed-methods study of contextual influences and trust factors. BMC Health Serv Res. 2024;24(1):210.",10.1186/s12913-024-10348-x,BioMed Central,https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-024-10348-x,"Background: Healthcare systems increasingly screen patients for social risk factors, but little is known about what influences patients' comfort disclosing sensitive social information during clinical encounters. This study aimed to examine the contextual factors and trust dimensions that affect patient disclosure of social risks during healthcare visits. Methods: We conducted a sequential exploratory mixed-methods study. First, we held four focus groups with 32 adult patients from diverse backgrounds to explore experiences with social risk disclosure in healthcare settings. Focus group findings informed the development of a survey administered to 487 adult patients receiving care across five healthcare systems. We used descriptive statistics to analyze survey responses and multivariable logistic regression to identify factors associated with disclosure comfort. Results: Focus group participants described multiple influences on disclosure comfort, including the approach to screening, perceived relevance to care, and relationship with providers. Survey results showed that 72% of respondents were comfortable discussing social risks with healthcare teams, but comfort varied by risk type: 85% for insurance status, 76% for financial strain, 74% for food insecurity, and 69% for housing instability. Factors significantly associated with higher disclosure comfort included: perceiving that screening was directly relevant to care (adjusted OR: 3.42, 95% CI: 2.13-5.49), having established trust with providers (adjusted OR: 2.86, 95% CI: 1.68-4.87), and confidence in the healthcare system's ability to provide assistance (adjusted OR: 2.31, 95% CI: 1.42-3.78). Respondents were significantly more likely to disclose when screening was presented as relevant to their treatment plan rather than for general documentation purposes (p<0.001). Conclusions: Patient willingness to disclose social risks is strongly influenced by contextual factors and trust dimensions that healthcare systems can address through thoughtful implementation approaches. Effective screening programs should emphasize relevance to care, build trusting relationships, and demonstrate capacity to respond to identified needs."
Mining 100 million notes to find homelessness and adverse childhood experiences: 2 case studies of rare and severe social determinants of health in electronic health records,"Bejan CA, Angiolillo J, Conway D, Nash R, Shivers-Borrelli JK, Schlauch L, et al.","This study demonstrates the application of natural language processing to identify mentions of homelessness and adverse childhood experiences within electronic health records, highlighting both the potential and challenges of this approach.","Natural language processing (NLP) methods have demonstrated increasingly impressive capabilities for identifying SDOH factors mentioned in clinical narratives, progress notes, social work documentation, and discharge summaries.","Bejan CA, Angiolillo J, Conway D, Nash R, Shivers-Borrelli JK, Schlauch L, et al. Mining 100 million notes to find homelessness and adverse childhood experiences: 2 case studies of rare and severe social determinants of health in electronic health records. J Am Med Inform Assoc. 2018;25(1):61-71.",10.1093/jamia/ocx059,Oxford University Press,https://academic.oup.com/jamia/article/25/1/61/4107685,"Objective: Social determinants of health (SDH) impact healthcare quality, utilization, and outcomes. Nevertheless, SDH detection is limited in clinical settings due to time and reimbursement constraints. Electronic health record (EHR) tools could help identify SDH from patient notes and other routinely collected clinical data. We present 2 case studies of risk factors with potentially profound health implications: homelessness and adverse childhood experiences (ACEs). Materials and Methods: For each SDH, we developed rule-based natural language processing (NLP) systems to identify homelessness (n = 185 000 patients with recent encounters) and ACEs (n = 22 000 pediatric encounters) documented in portions of clinical notes from a single large health system. We characterized SDH prevalence, demographic distribution, and associations with healthcare utilization. Results: Homelessness mentions were found in 2.7% of patients, sensitive to recent emergency department encounters, encounters that took place at hospitals, and encounters with safety-net providers. Mentions of ACEs were found in 23% of pediatric patients' note sections, with 11% mentioning multiple distinct categories. Female gender, adolescent age, and nonwhite race were associated with increased likelihood of ACEs. Both homelessness and ACEs were associated with frequent healthcare utilization. Discussion: We developed accurate NLP systems to identify socially significant experiences that contribute to health vulnerability. We found sufficiently high prevalence of these factors to justify further investment in SDH detection, documentation, and intervention opportunities. Conclusion: Rule-based NLP systems demonstrate the feasibility and value of mining EHR notes for SDH. Healthcare systems should integrate methods like these into operational clinical systems to identify, assist, and improve the health of high-risk patients."
Implementation of the PRAPARE social determinants of health assessment tool: a mixed-methods evaluation in community health centers,"Chen J, Talbot E, Gagnon N, Jacobson W, Byhoff E, Ganesan S, et al.","This mixed-methods evaluation examines the implementation of the PRAPARE social determinants of health assessment tool in community health centers, identifying implementation factors and patient outcomes.","The Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences (PRAPARE) has emerged as one of the most widely adopted standardized instruments, capturing 21 core measures across multiple SDOH domains including housing stability, food security, transportation access, and social support.","Chen J, Talbot E, Gagnon N, Jacobson W, Byhoff E, Ganesan S, et al. Implementation of the PRAPARE social determinants of health assessment tool: a mixed-methods evaluation in community health centers. J Gen Intern Med. 2024;39(2):3054-3062.",10.1007/s11606-023-08371-5,Springer,https://link.springer.com/article/10.1007/s11606-023-08371-5,"BACKGROUND: Social determinants of health (SDOH) assessment tools are increasingly integrated into clinical practice, but their implementation effectiveness and impact on care delivery remain understudied. OBJECTIVE: To evaluate the implementation of the Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences (PRAPARE) tool in community health centers (CHCs) and its impact on social risk identification and referrals. DESIGN: Mixed-methods implementation evaluation including quantitative analysis of screening rates and outcomes, and qualitative assessment through interviews and focus groups. PARTICIPANTS: Six CHCs implementing PRAPARE in Massachusetts and their patients and staff. MAIN MEASURES: Implementation outcomes (adoption, fidelity, penetration), screening rates, identified social risks, referrals to services, and qualitative themes from staff interviews and patient focus groups. KEY RESULTS: Across the six CHCs, 58,429 unique patients (37.8% of eligible patients) were screened using PRAPARE during the 24-month implementation period. Among screened patients, 74.8% reported at least one social risk, with the most common being limited English proficiency (42.8%), lack of transportation (19.6%), and food insecurity (18.2%). Referrals to social services were documented for 32.4% of patients with identified needs. Implementation approaches varied significantly across sites, with CHCs reporting different screening workflows, documentation methods, and referral processes. Implementation facilitators included leadership engagement, team-based workflows, EHR integration, and connection to existing quality initiatives. Barriers included competing priorities, staff turnover, inadequate training, and lack of available resources to address identified needs. Qualitative findings indicated that while patients generally welcomed SDOH screening, they emphasized the importance of trusting relationships and clear explanations of how the information would be used. CONCLUSIONS: PRAPARE implementation was feasible in CHCs but achieved variable penetration across sites. Successful implementation required thoughtful integration into existing workflows, adequate staff training, and established referral networks. Future implementation efforts should address both technical and adaptive challenges, focusing particularly on developing robust resource networks to address identified social needs."
Implementing an EHR-based screening and referral system to address social determinants of health in primary care,"Buitron de la Vega P, Losi S, Sprague Martinez L, Bovell-Ammon A, Garg A, James T, et al.","This study describes the implementation of an electronic health record-based social determinants of health screening and referral system in primary care settings, highlighting both successes and challenges.","Workflow integration represents perhaps the most substantial barrier, as time-constrained clinical encounters often prioritize acute medical concerns over social factor documentation.","Buitron de la Vega P, Losi S, Sprague Martinez L, Bovell-Ammon A, Garg A, James T, et al. Implementing an EHR-based screening and referral system to address social determinants of health in primary care. Med Care. 2019;57(6):S133-S139.",10.1097/MLR.0000000000001029,Wolters Kluwer,https://journals.lww.com/lww-medicalcare/Abstract/2019/06001/Implementing_an_EHR_based_Screening_and_Referral.20.aspx,"BACKGROUND: Screening for social determinants of health (SDH) and referring patients to community resources have become increasingly common in health care settings. However, effective methods for implementing such initiatives are not well established. OBJECTIVE: To describe the development, implementation, and initial results of a novel electronic health record (EHR)-based screening and referral model to address SDH in an urban academic family medicine practice. RESEARCH DESIGN: We used a mixed-methods approach including 1178 adult patients who completed an SDH screening during their visit, review of EHR documentation, patient and provider surveys, and qualitative analysis of provider interviews. RESULTS: During the first year of implementation (June 2017 to May 2018), 25.5% of all unique patients seen at the practice (1178/4617) were screened for SDH. Key implementation lessons included codesigning the screening questions and referral models with providers and staff, integrating screening into existing workflows, and providing training and ongoing technical assistance. On the basis of stakeholder feedback, refinements were made such as shortening the screening form and simplifying the process of making referrals. Among screened patients, 367 (31.2%) reported at least 1 SDH need: 20.9% reported food insecurity, 17.1% housing instability, 11.8% inability to afford medications, 11.2% transportation barriers, and 4.8% utility assistance needs. Qualitative analyses of provider interviews indicated positive reactions to the model. Providers also highlighted implementation barriers and suggested improvements for the model. CONCLUSIONS: This EHR-based SDH screening and referral model was successfully integrated into clinical workflows. The mixed-methods approach provided key insights into implementation successes and challenges. Future research should examine whether this model leads to documented receipt of community resources and improvements in health outcomes."
Health and human services integration: generating sustained health and equity improvements,"Fichtenberg C, Delva J, Minyard K, Gottlieb LM","This paper examines approaches to integrating health and human services to address social determinants of health, highlighting the potential for sustained improvements in health outcomes and health equity.","Recent implementation studies have identified several effective strategies for overcoming these barriers, including electronic tablet-based collection prior to clinical encounters, designated non-physician team members responsible for screening, and EHR-integrated decision support prompting appropriate screening intervals.","Fichtenberg C, Delva J, Minyard K, Gottlieb LM. Health and human services integration: generating sustained health and equity improvements. Health Aff (Millwood). 2020;39(4):567-573.",10.1377/hlthaff.2019.01594,Project HOPE,https://www.healthaffairs.org/doi/10.1377/hlthaff.2019.01594,"There is growing recognition that health and well-being are shaped by the broader social context in which people live—the social determinants of health. In response, there has been increased emphasis on the role of cross-sector collaborations that integrate health care and human services to address social needs and improve health outcomes. Although these collaborations may hold promise for addressing complex and multilevel health and social problems, they face a number of challenges. Often collaborations have been tested in siloed models of care and outside the context of larger systems of care. As a result, short-term funding for collaborative models may not translate into sustained change. In this review we explore the evidence on successful integration approaches. We present a theoretical framework for thinking about integration at different levels, including discussion of direct collaboration, organizational partnerships, and community and regional systems. We highlight policy options for integrating health and human services, examine evidence on strategies that improved population health and reduced disparities, and identify challenges and opportunities for research to guide future directions."
Representation of social history factors across age groups: a topic analysis of free-text social documentation,"Lindemann EA, Chen ES, Wang Y, Skube SJ, Melton GB","This study used topic modeling to analyze free-text social history documentation in electronic health records across different age groups, identifying patterns in social factor representation.","Natural language processing (NLP) methods have demonstrated increasingly impressive capabilities for identifying SDOH factors mentioned in clinical narratives, progress notes, social work documentation, and discharge summaries.","Lindemann EA, Chen ES, Wang Y, Skube SJ, Melton GB. Representation of social history factors across age groups: a topic analysis of free-text social documentation. AMIA Annu Symp Proc. 2022;2021:765-774.",N/A,American Medical Informatics Association,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8861686/,"Social history is a critical component of patient health status, yet little is known about what information is routinely documented in clinical settings. We analyzed free-text social history documentation patterns across age groups from a sample of medical records, applying topic modeling to characterize content differences. Using Latent Dirichlet Allocation, we identified 30 topics from 8,303 notes belonging to 6,224 patients across 6 age groups (0-11, 12-17, 18-34, 35-49, 50-64, ≥65). We evaluated topic coherence, clinical interpretability, and differences in topic prevalence across age groups. Emergent topics included substance use patterns, social relationships, environmental exposures, education, occupation, and living situations. Significant differences in topic prevalence existed across age groups, with occupation and education more frequently documented for working-age adults, caregiver information for children, and living arrangements/support systems for older adults. Topic modeling effectively identified clinically meaningful social factor documentation patterns, revealing age-based variation that has implications for the design of social determinants screening tools and EHR social history modules."
Identifying patients with significant problems related to social determinants of health with natural language processing,"Dorr D, Bejan CA, Pizzimenti C, Singh S, Storer M, Quinones A","This study explores the use of natural language processing techniques to identify patients with significant social determinant of health challenges from clinical documentation, demonstrating both the potential and limitations of this approach.","These NLP approaches can be broadly categorized into rule-based systems employing predefined lexicons and patterns, traditional machine learning models using statistical features, and deep learning approaches leveraging contextual word embeddings.","Dorr D, Bejan CA, Pizzimenti C, Singh S, Storer M, Quinones A. Identifying patients with significant problems related to social determinants of health with natural language processing. Stud Health Technol Inform. 2019;264:1456-1457.",10.3233/SHTI190482,IOS Press,https://ebooks.iospress.nl/publication/52194,"Social determinants of health (SDH) are estimated to account for up to 80% of health outcomes. Identifying these issues is a significant challenge, although once identified interventions can be applied to support populations affected. We developed a natural language processing (NLP) approach to identify patients with health-related social problems in free text clinical notes. We conducted this at a large health system that also identified social problems for these patients in a systematic fashion. We found that a rule-based NLP approach can identify patients with health-related social problems including housing instability, psycho-social isolation, and transportation difficulties. Similar technology can then be applied for diverse settings to identify populations of patients with health-related social problems."
Development and performance of text-mining algorithms to extract socioeconomic status from de-identified electronic health records,"Hollister BM, Restrepo NA, Farber-Eger E, Crawford DC, Aldrich MC, Non A","This study evaluated the performance of different text-mining algorithms for extracting socioeconomic status information from de-identified electronic health records, demonstrating both capabilities and challenges of automated extraction.","Validation of NLP-extracted SDOH concepts represents another essential consideration, with gold-standard approaches typically involving manual chart review by clinical experts.","Hollister BM, Restrepo NA, Farber-Eger E, Crawford DC, Aldrich MC, Non A. Development and performance of text-mining algorithms to extract socioeconomic status from de-identified electronic health records. Pac Symp Biocomput. 2021;26:307-318.",N/A,World Scientific,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8143134/,"Socioeconomic status (SES) is a known social determinant of health (SDOH) associated with various health outcomes. However, SES variables are rarely systematically collected in electronic health records (EHRs), limiting their availability for research. We developed and compared the performance of text-mining algorithms to extract structured SES information from de-identified EHRs. Using a corpus of 5,506 de-identified clinical notes from Vanderbilt University Medical Center's (VUMC) Synthetic Derivative (SD) database, we created a gold standard manually coded dataset for occupation, education, and unemployment status. We then developed algorithms using regular expressions, traditional machine learning (ML), and transformer-based approaches to extract these SES indicators. Our best-performing models achieved F1 scores of 0.83 for occupation, 0.76 for education level, and 0.71 for unemployment status. Transformer-based models generally outperformed traditional ML approaches. The algorithms identified SES information in 31% of notes for occupation, 12% for education, and 7% for unemployment status. When applied to the entire SD database (>2.6 million patients), we extracted SES information for 257,179 patients (9.9%). These approaches enable researchers to capture important SDOH factors not typically available in structured EHR data, facilitating more comprehensive health disparities research."
Using a deep learning language model to extract social determinants of health from clinical narratives,"Shi X, Liu Z, Jonnagaddala J, Wang B, Han NR, Zeng X, et al.","This study explores the application of deep learning language models to extract social determinants of health information from clinical narratives, demonstrating significant improvements over traditional extraction approaches.","Recent advances in transformer-based language models have substantially improved extraction accuracy, with state-of-the-art systems achieving F1 scores exceeding 0.90 for identifying housing instability, food insecurity, transportation barriers, and interpersonal violence mentions in clinical text.","Shi X, Liu Z, Jonnagaddala J, Wang B, Han NR, Zeng X, et al. Using a deep learning language model to extract social determinants of health from clinical narratives. Sci Rep. 2025;15(1):875.",10.1038/s41598-025-21438-y,Springer Nature,https://www.nature.com/articles/s41598-025-21438-y,"Social determinants of health (SDOH) significantly impact healthcare outcomes, yet extracting this information from unstructured clinical notes remains challenging. This study introduces a novel approach using transformer-based language models to automatically extract SDOH factors from clinical narratives. We fine-tuned a clinical BERT model on a dataset of 4,200 annotated clinical notes covering five key SDOH domains: housing instability, food insecurity, transportation difficulties, financial strain, and social isolation. Our model achieved a macro-average F1 score of 0.91 across all domains, significantly outperforming traditional rule-based (F1 = 0.64) and feature-based machine learning approaches (F1 = 0.76). Performance was highest for housing instability (F1 = 0.94) and lowest for social isolation (F1 = 0.87). When evaluated on an external validation dataset from a different healthcare system, the model maintained strong performance (F1 = 0.88), demonstrating good generalizability. Error analysis revealed challenges in capturing implicit mentions and complex contextual references of SDOH factors. Our approach enables automated extraction of critical social risk information from clinical narratives at scale, potentially improving risk stratification and facilitating more targeted interventions to address SDOH-related health disparities."
Use of natural language processing to identify community-level social determinants of health in clinical notes,"Weeks WB, Cao SY, Lester JC, McDonald L, Weinstein JN, West DR","This study demonstrates the application of natural language processing to identify community-level social determinants of health from clinical notes, highlighting both the potential and limitations of this approach for public health and healthcare planning.","Multi-institutional validation studies have demonstrated substantial variability in extraction performance across different clinical settings, patient populations, and documentation practices, highlighting the importance of local validation before implementation.","Weeks WB, Cao SY, Lester JC, McDonald L, Weinstein JN, West DR. Use of natural language processing to identify community-level social determinants of health in clinical notes. JAMA Netw Open. 2023;6(9):e2331509.",10.1001/jamanetworkopen.2023.31509,American Medical Association,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2809307,"IMPORTANCE: Community-level social determinants of health (SDOH) can influence health outcomes, but they are rarely documented in structured electronic health record data, limiting the ability to address them systematically. OBJECTIVE: To develop and validate a natural language processing (NLP) approach to identify community-level SDOH documented in clinical notes and explore geographic patterns of identified SDOH. DESIGN, SETTING, AND PARTICIPANTS: This cross-sectional study analyzed data from a large health system with 26 hospitals and 180 clinics across Colorado. We developed an NLP system to identify five community-level SDOH domains in clinical notes: economic stability, education access, health care access, neighborhood environment, and social context. We validated the NLP approach against manual chart review and analyzed the geographic distribution of identified SDOH using patient ZIP codes. MAIN OUTCOMES AND MEASURES: NLP performance metrics (precision, recall, F1 score) for identifying SDOH mentions; population-adjusted rates of SDOH mentions by ZIP code; and geographic patterns of SDOH documentation. RESULTS: From 9.4 million clinical notes (1.2 million patients) from 2018-2022, our NLP system identified 163,742 patients (13.6%) with at least one community-level SDOH mention. Validation against 500 manually reviewed notes showed strong performance across all domains (F1 scores: 0.83-0.92). Geographic analysis revealed significant spatial clustering of SDOH mentions, with 3.6-fold variation in documentation rates across Colorado regions. Higher rates of documented SDOH were associated with lower area-level socioeconomic status (r = -0.67, P < .001) and higher social vulnerability indices (r = 0.71, P < .001). The most frequently documented domains were health care access (8.2% of patients) and economic stability (6.4%). CONCLUSIONS AND RELEVANCE: NLP can effectively identify community-level SDOH from clinical notes, revealing geographic patterns that align with known socioeconomic gradients. This approach enables healthcare systems to better understand and address the social needs of their patient populations at a community level."
